Model,Accuracy,Precision,Recall,F1 Score,AUC,CV Mean,CV Std
Logistic Regression,0.8536585365853658,0.8383838383838383,0.9764705882352941,0.9021739130434783,0.8216718266253871,0.7983096268810554,0.04275624799771212
Random Forest,0.8536585365853658,0.8602150537634409,0.9411764705882353,0.898876404494382,0.8678018575851394,0.7800041228612657,0.04783507919579234
Gradient Boosting,0.8130081300813008,0.8444444444444444,0.8941176470588236,0.8685714285714285,0.8352941176470589,0.7738610595753453,0.037646769345794244
SVM,0.8536585365853658,0.8316831683168316,0.9882352941176471,0.9032258064516129,0.8244582043343653,0.7962688105545249,0.043544988503146156
Naive Bayes,0.8455284552845529,0.8367346938775511,0.9647058823529412,0.8961748633879781,0.796904024767802,0.7800041228612657,0.04228951463698367
